instruct_resp_simon.keys,instruct_resp_simon.corr,instruct_resp_simon.rt,trial_resp_simon.keys,trial_resp_simon.corr,trial_resp_simon.rt,kerr,target_onset,target_color,target_pos,target_file,target_resp,trials_train_simon.thisRepN,trials_train_simon.thisTrialN,trials_train_simon.thisN,trials_train_simon.thisIndex,trials_train_simon.ran,odd_target_pos,even_target_pos,odd_target_resp,odd_target_file,even_target_file,even_target_resp,odd_target_side,even_target_side,participant,date,expName,psychopyVersion,OS,frameRate,train_block_note_resp.keys,train_block_note_resp.rt,blocks_train.thisRepN,blocks_train.thisTrialN,blocks_train.thisN,blocks_train.thisIndex,blocks_train.ran,instruct_resp_timing.keys,instruct_resp_timing.corr,instruct_resp_timing.rt,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,instruct_resp.keys,instruct_resp.corr,instruct_resp.rt,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_num,too_slow,too_soon,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,block_note_resp.keys,block_note_resp.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
space,0,40.7798,right,1,2.8327,0,0.586452305,#a3d0fb,"[""-0.25"",""0""]",right_blue.png,right,0,0,0,0,1,,,right,right_blue.png,up_orange.png,up,left,down,60fd6a2e013bff4b729c6dec,2021-09-08_11h21.26.509,arrow_simon_vert,2021.1.2,Win32,59.78715772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,up,0,1.9358,1,0.677879729,#f3af84,"[""0"",""0.25""]",down_orange.png,down,0,1,1,3,1,,,left,left_blue.png,down_orange.png,down,right,up,60fd6a2e013bff4b729c6dec,2021-09-08_11h21.26.509,arrow_simon_vert,2021.1.2,Win32,59.78715772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1,1.6944,0,0.003936451,#a3d0fb,"[""-0.25"",""0""]",right_blue.png,right,0,2,2,0,1,,,right,right_blue.png,up_orange.png,up,left,down,60fd6a2e013bff4b729c6dec,2021-09-08_11h21.26.509,arrow_simon_vert,2021.1.2,Win32,59.78715772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,1.3028,0,0.235384975,#f3af84,"[""0"",""0.25""]",down_orange.png,down,0,3,3,3,1,,,left,left_blue.png,down_orange.png,down,right,up,60fd6a2e013bff4b729c6dec,2021-09-08_11h21.26.509,arrow_simon_vert,2021.1.2,Win32,59.78715772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1,2.508,0,0.697872911,#a3d0fb,"[""0.25"",""0""]",left_blue.png,left,1,0,4,3,1,,,left,left_blue.png,down_orange.png,down,right,up,60fd6a2e013bff4b729c6dec,2021-09-08_11h21.26.509,arrow_simon_vert,2021.1.2,Win32,59.78715772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,up,1,2.1878,0,0.748153908,#f3af84,"[""0"",""-0.25""]",up_orange.png,up,1,1,5,0,1,,,right,right_blue.png,up_orange.png,up,left,down,60fd6a2e013bff4b729c6dec,2021-09-08_11h21.26.509,arrow_simon_vert,2021.1.2,Win32,59.78715772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1,1.5792,0,0.795949817,#a3d0fb,"[""-0.25"",""0""]",left_blue.png,left,1,2,6,2,1,,,left,left_blue.png,down_orange.png,down,left,down,60fd6a2e013bff4b729c6dec,2021-09-08_11h21.26.509,arrow_simon_vert,2021.1.2,Win32,59.78715772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,1.401,0,0.599852403,#f3af84,"[""0"",""0.25""]",down_orange.png,down,1,3,7,3,1,,,left,left_blue.png,down_orange.png,down,right,up,60fd6a2e013bff4b729c6dec,2021-09-08_11h21.26.509,arrow_simon_vert,2021.1.2,Win32,59.78715772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1,1.6876,0,0.647713208,#a3d0fb,"[""0.25"",""0""]",left_blue.png,left,2,0,8,3,1,,,left,left_blue.png,down_orange.png,down,right,up,60fd6a2e013bff4b729c6dec,2021-09-08_11h21.26.509,arrow_simon_vert,2021.1.2,Win32,59.78715772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,2.0385,0,0.916909804,#f3af84,"[""0"",""-0.25""]",down_orange.png,down,2,1,9,2,1,,,left,left_blue.png,down_orange.png,down,left,down,60fd6a2e013bff4b729c6dec,2021-09-08_11h21.26.509,arrow_simon_vert,2021.1.2,Win32,59.78715772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
