instruct_resp_simon.keys,instruct_resp_simon.corr,instruct_resp_simon.rt,trial_resp_simon.keys,trial_resp_simon.corr,trial_resp_simon.rt,kerr,target_onset,target_color,target_pos,target_file,target_resp,trials_train_simon.thisRepN,trials_train_simon.thisTrialN,trials_train_simon.thisN,trials_train_simon.thisIndex,trials_train_simon.ran,odd_target_pos,even_target_pos,odd_target_resp,odd_target_file,even_target_file,even_target_resp,odd_target_side,even_target_side,participant,date,expName,psychopyVersion,OS,frameRate,train_block_note_resp.keys,train_block_note_resp.rt,blocks_train.thisRepN,blocks_train.thisTrialN,blocks_train.thisN,blocks_train.thisIndex,blocks_train.ran,instruct_resp_timing.keys,instruct_resp_timing.corr,instruct_resp_timing.rt,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,instruct_resp.keys,instruct_resp.corr,instruct_resp.rt,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_num,too_slow,too_soon,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,block_note_resp.keys,block_note_resp.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
space,0,117.3866,left,1,2.1936,0,0.807829241,#a3d0fb,"[""0.25"",""0""]",left_blue.png,left,0,0,0,3,1,,,left,left_blue.png,down_orange.png,down,right,up,61157d9bcc5084cae1e75a86,2021-09-11_16h45.10.790,arrow_simon_vert,2021.1.2,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,up,1,1.0845,0,0.414220775,#f3af84,"[""0"",""0.25""]",up_orange.png,up,0,1,1,1,1,,,right,right_blue.png,up_orange.png,up,right,up,61157d9bcc5084cae1e75a86,2021-09-11_16h45.10.790,arrow_simon_vert,2021.1.2,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1,1.2385,0,0.581054634,#a3d0fb,"[""0.25"",""0""]",left_blue.png,left,0,2,2,3,1,,,left,left_blue.png,down_orange.png,down,right,up,61157d9bcc5084cae1e75a86,2021-09-11_16h45.10.790,arrow_simon_vert,2021.1.2,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,1.5669,0,0.95353545,#f3af84,"[""0"",""-0.25""]",down_orange.png,down,0,3,3,2,1,,,left,left_blue.png,down_orange.png,down,left,down,61157d9bcc5084cae1e75a86,2021-09-11_16h45.10.790,arrow_simon_vert,2021.1.2,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1,1.062,0,0.602650654,#a3d0fb,"[""0.25"",""0""]",right_blue.png,right,1,0,4,1,1,,,right,right_blue.png,up_orange.png,up,right,up,61157d9bcc5084cae1e75a86,2021-09-11_16h45.10.790,arrow_simon_vert,2021.1.2,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,up,1,0.6993,0,0.17367729,#f3af84,"[""0"",""0.25""]",up_orange.png,up,1,1,5,1,1,,,right,right_blue.png,up_orange.png,up,right,up,61157d9bcc5084cae1e75a86,2021-09-11_16h45.10.790,arrow_simon_vert,2021.1.2,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1,1.4319,0,0.906744997,#a3d0fb,"[""-0.25"",""0""]",right_blue.png,right,1,2,6,0,1,,,right,right_blue.png,up_orange.png,up,left,down,61157d9bcc5084cae1e75a86,2021-09-11_16h45.10.790,arrow_simon_vert,2021.1.2,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,1.1157,0,0.485594324,#f3af84,"[""0"",""-0.25""]",down_orange.png,down,1,3,7,2,1,,,left,left_blue.png,down_orange.png,down,left,down,61157d9bcc5084cae1e75a86,2021-09-11_16h45.10.790,arrow_simon_vert,2021.1.2,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1,0.9333,0,0.461144946,#a3d0fb,"[""-0.25"",""0""]",left_blue.png,left,2,0,8,2,1,,,left,left_blue.png,down_orange.png,down,left,down,61157d9bcc5084cae1e75a86,2021-09-11_16h45.10.790,arrow_simon_vert,2021.1.2,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,up,1,0.5735,0,0.104271268,#f3af84,"[""0"",""0.25""]",up_orange.png,up,2,1,9,1,1,,,right,right_blue.png,up_orange.png,up,right,up,61157d9bcc5084cae1e75a86,2021-09-11_16h45.10.790,arrow_simon_vert,2021.1.2,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
