instruct_resp_simon.keys,instruct_resp_simon.corr,instruct_resp_simon.rt,trial_resp_simon.keys,trial_resp_simon.corr,trial_resp_simon.rt,kerr,target_onset,target_color,target_pos,target_file,target_resp,trials_train_simon.thisRepN,trials_train_simon.thisTrialN,trials_train_simon.thisN,trials_train_simon.thisIndex,trials_train_simon.ran,odd_target_pos,even_target_pos,odd_target_resp,odd_target_file,even_target_file,even_target_resp,odd_target_side,even_target_side,participant,date,expName,psychopyVersion,OS,frameRate,train_block_note_resp.keys,train_block_note_resp.rt,blocks_train.thisRepN,blocks_train.thisTrialN,blocks_train.thisN,blocks_train.thisIndex,blocks_train.ran,instruct_resp_timing.keys,instruct_resp_timing.corr,instruct_resp_timing.rt,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,instruct_resp.keys,instruct_resp.corr,instruct_resp.rt,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_num,too_slow,too_soon,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,block_note_resp.keys,block_note_resp.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
space,0,113.6263,up,0,2.374700001,1,0.747268962,#a3d0fb,"[""-0.25"",""0""]",left_blue.png,left,0,0,0,2,1,,,left,left_blue.png,down_orange.png,down,left,down,6104a21eb93f2042e3d2a2bd,2021-09-11_14h43.02.022,arrow_simon_vert,2021.1.2,Win32,60.46314771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,up,1,1.685300001,0,0.274734191,#f3af84,"[""0"",""0.25""]",up_orange.png,up,0,1,1,1,1,,,right,right_blue.png,up_orange.png,up,right,up,6104a21eb93f2042e3d2a2bd,2021-09-11_14h43.02.022,arrow_simon_vert,2021.1.2,Win32,60.46314771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1,2.9166,0,0.637360601,#a3d0fb,"[""0.25"",""0""]",left_blue.png,left,0,2,2,3,1,,,left,left_blue.png,down_orange.png,down,right,up,6104a21eb93f2042e3d2a2bd,2021-09-11_14h43.02.022,arrow_simon_vert,2021.1.2,Win32,60.46314771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,1.611300001,0,0.560067577,#f3af84,"[""0"",""0.25""]",down_orange.png,down,0,3,3,3,1,,,left,left_blue.png,down_orange.png,down,right,up,6104a21eb93f2042e3d2a2bd,2021-09-11_14h43.02.022,arrow_simon_vert,2021.1.2,Win32,60.46314771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1,0.894299999,0,0.321920985,#a3d0fb,"[""0.25"",""0""]",right_blue.png,right,1,0,4,1,1,,,right,right_blue.png,up_orange.png,up,right,up,6104a21eb93f2042e3d2a2bd,2021-09-11_14h43.02.022,arrow_simon_vert,2021.1.2,Win32,60.46314771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,1.4615,0,0.147073484,#f3af84,"[""0"",""0.25""]",down_orange.png,down,1,1,5,3,1,,,left,left_blue.png,down_orange.png,down,right,up,6104a21eb93f2042e3d2a2bd,2021-09-11_14h43.02.022,arrow_simon_vert,2021.1.2,Win32,60.46314771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1,1.611,0,0.534514884,#a3d0fb,"[""-0.25"",""0""]",left_blue.png,left,1,2,6,2,1,,,left,left_blue.png,down_orange.png,down,left,down,6104a21eb93f2042e3d2a2bd,2021-09-11_14h43.02.022,arrow_simon_vert,2021.1.2,Win32,60.46314771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,up,1,2.323799999,0,0.92322205,#f3af84,"[""0"",""-0.25""]",up_orange.png,up,1,3,7,0,1,,,right,right_blue.png,up_orange.png,up,left,down,6104a21eb93f2042e3d2a2bd,2021-09-11_14h43.02.022,arrow_simon_vert,2021.1.2,Win32,60.46314771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1,1.292099998,0,0.473930387,#a3d0fb,"[""-0.25"",""0""]",left_blue.png,left,2,0,8,2,1,,,left,left_blue.png,down_orange.png,down,left,down,6104a21eb93f2042e3d2a2bd,2021-09-11_14h43.02.022,arrow_simon_vert,2021.1.2,Win32,60.46314771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,2.4294,0,0.90840525,#f3af84,"[""0"",""-0.25""]",down_orange.png,down,2,1,9,2,1,,,left,left_blue.png,down_orange.png,down,left,down,6104a21eb93f2042e3d2a2bd,2021-09-11_14h43.02.022,arrow_simon_vert,2021.1.2,Win32,60.46314771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1,1.9119,0,0.371774889,#a3d0fb,"[""0.25"",""0""]",left_blue.png,left,2,2,10,3,1,,,left,left_blue.png,down_orange.png,down,right,up,6104a21eb93f2042e3d2a2bd,2021-09-11_14h43.02.022,arrow_simon_vert,2021.1.2,Win32,60.46314771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,up,1,1.9961,0,0.625473146,#f3af84,"[""0"",""0.25""]",up_orange.png,up,2,3,11,1,1,,,right,right_blue.png,up_orange.png,up,right,up,6104a21eb93f2042e3d2a2bd,2021-09-11_14h43.02.022,arrow_simon_vert,2021.1.2,Win32,60.46314771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1,2.1106,0,0.17595724,#a3d0fb,"[""0.25"",""0""]",right_blue.png,right,3,0,12,1,1,,,right,right_blue.png,up_orange.png,up,right,up,6104a21eb93f2042e3d2a2bd,2021-09-11_14h43.02.022,arrow_simon_vert,2021.1.2,Win32,60.46314771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,2.090200001,0,0.332120115,#f3af84,"[""0"",""-0.25""]",down_orange.png,down,3,1,13,2,1,,,left,left_blue.png,down_orange.png,down,left,down,6104a21eb93f2042e3d2a2bd,2021-09-11_14h43.02.022,arrow_simon_vert,2021.1.2,Win32,60.46314771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1,2.0761,0,0.935177996,#a3d0fb,"[""0.25"",""0""]",right_blue.png,right,3,2,14,1,1,,,right,right_blue.png,up_orange.png,up,right,up,6104a21eb93f2042e3d2a2bd,2021-09-11_14h43.02.022,arrow_simon_vert,2021.1.2,Win32,60.46314771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,1.4984,0,0.235746555,#f3af84,"[""0"",""-0.25""]",down_orange.png,down,3,3,15,2,1,,,left,left_blue.png,down_orange.png,down,left,down,6104a21eb93f2042e3d2a2bd,2021-09-11_14h43.02.022,arrow_simon_vert,2021.1.2,Win32,60.46314771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1,2.169300001,0,0.91121667,#a3d0fb,"[""0.25"",""0""]",right_blue.png,right,4,0,16,1,1,,,right,right_blue.png,up_orange.png,up,right,up,6104a21eb93f2042e3d2a2bd,2021-09-11_14h43.02.022,arrow_simon_vert,2021.1.2,Win32,60.46314771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,1.641699999,0,0.358923666,#f3af84,"[""0"",""0.25""]",down_orange.png,down,4,1,17,3,1,,,left,left_blue.png,down_orange.png,down,right,up,6104a21eb93f2042e3d2a2bd,2021-09-11_14h43.02.022,arrow_simon_vert,2021.1.2,Win32,60.46314771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
