instruct_resp_simon.keys,instruct_resp_simon.corr,instruct_resp_simon.rt,trial_resp_simon.keys,trial_resp_simon.corr,trial_resp_simon.rt,kerr,target_onset,target_color,target_pos,target_file,target_resp,trials_train_simon.thisRepN,trials_train_simon.thisTrialN,trials_train_simon.thisN,trials_train_simon.thisIndex,trials_train_simon.ran,odd_target_pos,even_target_pos,odd_target_resp,odd_target_file,even_target_file,even_target_resp,odd_target_side,even_target_side,participant,date,expName,psychopyVersion,OS,frameRate,train_block_note_resp.keys,train_block_note_resp.rt,blocks_train.thisRepN,blocks_train.thisTrialN,blocks_train.thisN,blocks_train.thisIndex,blocks_train.ran,instruct_resp_timing.keys,instruct_resp_timing.corr,instruct_resp_timing.rt,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,instruct_resp.keys,instruct_resp.corr,instruct_resp.rt,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_num,too_slow,too_soon,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,block_note_resp.keys,block_note_resp.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
space,0,51.526,down,0,1.5913,1,0.717625258,#a3d0fb,"[""0.25"",""0""]",left_blue.png,left,0,0,0,3,1,,,left,left_blue.png,down_orange.png,down,right,up,610d6c481ca4797b863fe3d1,2021-09-11_17h52.44.217,arrow_simon_vert,2021.1.2,MacIntel,59.99160118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,up,1,2.7774,0,0.149925743,#f3af84,"[""0"",""0.25""]",up_orange.png,up,0,1,1,1,1,,,right,right_blue.png,up_orange.png,up,right,up,610d6c481ca4797b863fe3d1,2021-09-11_17h52.44.217,arrow_simon_vert,2021.1.2,MacIntel,59.99160118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1,1.1693,0,0.605030525,#a3d0fb,"[""0.25"",""0""]",left_blue.png,left,0,2,2,3,1,,,left,left_blue.png,down_orange.png,down,right,up,610d6c481ca4797b863fe3d1,2021-09-11_17h52.44.217,arrow_simon_vert,2021.1.2,MacIntel,59.99160118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,1.9423,0,0.416610441,#f3af84,"[""0"",""0.25""]",down_orange.png,down,0,3,3,3,1,,,left,left_blue.png,down_orange.png,down,right,up,610d6c481ca4797b863fe3d1,2021-09-11_17h52.44.217,arrow_simon_vert,2021.1.2,MacIntel,59.99160118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1,1.8117,0,0.567765667,#a3d0fb,"[""-0.25"",""0""]",right_blue.png,right,1,0,4,0,1,,,right,right_blue.png,up_orange.png,up,left,down,610d6c481ca4797b863fe3d1,2021-09-11_17h52.44.217,arrow_simon_vert,2021.1.2,MacIntel,59.99160118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,1.5425,0,0.016654888,#f3af84,"[""0"",""0.25""]",down_orange.png,down,1,1,5,3,1,,,left,left_blue.png,down_orange.png,down,right,up,610d6c481ca4797b863fe3d1,2021-09-11_17h52.44.217,arrow_simon_vert,2021.1.2,MacIntel,59.99160118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1,1.2963,0,0.497440755,#a3d0fb,"[""0.25"",""0""]",right_blue.png,right,1,2,6,1,1,,,right,right_blue.png,up_orange.png,up,right,up,610d6c481ca4797b863fe3d1,2021-09-11_17h52.44.217,arrow_simon_vert,2021.1.2,MacIntel,59.99160118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,2.2986,0,0.414359071,#f3af84,"[""0"",""-0.25""]",down_orange.png,down,1,3,7,2,1,,,left,left_blue.png,down_orange.png,down,left,down,610d6c481ca4797b863fe3d1,2021-09-11_17h52.44.217,arrow_simon_vert,2021.1.2,MacIntel,59.99160118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1,1.2904,0,0.712072215,#a3d0fb,"[""0.25"",""0""]",right_blue.png,right,2,0,8,1,1,,,right,right_blue.png,up_orange.png,up,right,up,610d6c481ca4797b863fe3d1,2021-09-11_17h52.44.217,arrow_simon_vert,2021.1.2,MacIntel,59.99160118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,up,1,2.7454,0,0.417487925,#f3af84,"[""0"",""-0.25""]",up_orange.png,up,2,1,9,0,1,,,right,right_blue.png,up_orange.png,up,left,down,610d6c481ca4797b863fe3d1,2021-09-11_17h52.44.217,arrow_simon_vert,2021.1.2,MacIntel,59.99160118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
