instruct_resp_simon.keys,instruct_resp_simon.corr,instruct_resp_simon.rt,trial_resp_simon.keys,trial_resp_simon.corr,trial_resp_simon.rt,kerr,target_onset,target_color,target_pos,target_file,target_resp,trials_train_simon.thisRepN,trials_train_simon.thisTrialN,trials_train_simon.thisN,trials_train_simon.thisIndex,trials_train_simon.ran,odd_target_pos,even_target_pos,odd_target_resp,odd_target_file,even_target_file,even_target_resp,odd_target_side,even_target_side,participant,date,expName,psychopyVersion,OS,frameRate,train_block_note_resp.keys,train_block_note_resp.rt,blocks_train.thisRepN,blocks_train.thisTrialN,blocks_train.thisN,blocks_train.thisIndex,blocks_train.ran,instruct_resp_timing.keys,instruct_resp_timing.corr,instruct_resp_timing.rt,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,instruct_resp.keys,instruct_resp.corr,instruct_resp.rt,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_num,too_slow,too_soon,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,block_note_resp.keys,block_note_resp.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
space,0,100.2688,right,1,1.6554,0,0.672340993,#a3d0fb,"[""0.25"",""0""]",right_blue.png,right,0,0,0,1,1,,,right,right_blue.png,up_orange.png,up,right,up,5be76e0505e5cd00017a1f8e,2021-09-11_16h40.13.723,arrow_simon_vert,2021.1.2,Win32,58.02146794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,0.937,0,0.129645817,#f3af84,"[""0"",""0.25""]",down_orange.png,down,0,1,1,3,1,,,left,left_blue.png,down_orange.png,down,right,up,5be76e0505e5cd00017a1f8e,2021-09-11_16h40.13.723,arrow_simon_vert,2021.1.2,Win32,58.02146794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1,1.4237,0,0.938832465,#a3d0fb,"[""0.25"",""0""]",right_blue.png,right,0,2,2,1,1,,,right,right_blue.png,up_orange.png,up,right,up,5be76e0505e5cd00017a1f8e,2021-09-11_16h40.13.723,arrow_simon_vert,2021.1.2,Win32,58.02146794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,0.791,0,0.060068933,#f3af84,"[""0"",""0.25""]",down_orange.png,down,0,3,3,3,1,,,left,left_blue.png,down_orange.png,down,right,up,5be76e0505e5cd00017a1f8e,2021-09-11_16h40.13.723,arrow_simon_vert,2021.1.2,Win32,58.02146794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1,1.4028,0,0.897392349,#a3d0fb,"[""-0.25"",""0""]",left_blue.png,left,1,0,4,2,1,,,left,left_blue.png,down_orange.png,down,left,down,5be76e0505e5cd00017a1f8e,2021-09-11_16h40.13.723,arrow_simon_vert,2021.1.2,Win32,58.02146794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,up,1,1.4539,0,0.832038763,#f3af84,"[""0"",""-0.25""]",up_orange.png,up,1,1,5,0,1,,,right,right_blue.png,up_orange.png,up,left,down,5be76e0505e5cd00017a1f8e,2021-09-11_16h40.13.723,arrow_simon_vert,2021.1.2,Win32,58.02146794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,left,0,0.9934,1,0.402306761,#a3d0fb,"[""-0.25"",""0""]",right_blue.png,right,1,2,6,0,1,,,right,right_blue.png,up_orange.png,up,left,down,5be76e0505e5cd00017a1f8e,2021-09-11_16h40.13.723,arrow_simon_vert,2021.1.2,Win32,58.02146794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,up,1,1.1557,0,0.192702609,#f3af84,"[""0"",""-0.25""]",up_orange.png,up,1,3,7,0,1,,,right,right_blue.png,up_orange.png,up,left,down,5be76e0505e5cd00017a1f8e,2021-09-11_16h40.13.723,arrow_simon_vert,2021.1.2,Win32,58.02146794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1,1.3934,0,0.340626868,#a3d0fb,"[""0.25"",""0""]",right_blue.png,right,2,0,8,1,1,,,right,right_blue.png,up_orange.png,up,right,up,5be76e0505e5cd00017a1f8e,2021-09-11_16h40.13.723,arrow_simon_vert,2021.1.2,Win32,58.02146794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,1.5005,0,0.376801983,#f3af84,"[""0"",""0.25""]",down_orange.png,down,2,1,9,3,1,,,left,left_blue.png,down_orange.png,down,right,up,5be76e0505e5cd00017a1f8e,2021-09-11_16h40.13.723,arrow_simon_vert,2021.1.2,Win32,58.02146794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
