instruct_resp_simon.keys,instruct_resp_simon.corr,instruct_resp_simon.rt,trial_resp_simon.keys,trial_resp_simon.corr,trial_resp_simon.rt,kerr,target_onset,target_color,target_pos,target_file,target_resp,trials_train_simon.thisRepN,trials_train_simon.thisTrialN,trials_train_simon.thisN,trials_train_simon.thisIndex,trials_train_simon.ran,odd_target_pos,even_target_pos,odd_target_resp,odd_target_file,even_target_file,even_target_resp,odd_target_side,even_target_side,participant,date,expName,psychopyVersion,OS,frameRate,train_block_note_resp.keys,train_block_note_resp.rt,blocks_train.thisRepN,blocks_train.thisTrialN,blocks_train.thisN,blocks_train.thisIndex,blocks_train.ran,instruct_resp_timing.keys,instruct_resp_timing.corr,instruct_resp_timing.rt,trial_resp_timing.keys,trial_resp_timing.rt,trials_train_timing.thisRepN,trials_train_timing.thisTrialN,trials_train_timing.thisN,trials_train_timing.thisIndex,trials_train_timing.ran,instruct_resp.keys,instruct_resp.corr,instruct_resp.rt,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_num,too_slow,too_soon,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,block_note_resp.keys,block_note_resp.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
space,0,62.032,left,1,1.163,0,0.5121439,#a3d0fb,"[""-0.25"",""0""]",left_blue.png,left,0,0,0,2,1,,,left,left_blue.png,down_orange.png,down,left,down,5c03448ca33dc3000159e4ba,2021-09-11_14h38.39.720,arrow_simon_vert,2021.1.2,MacIntel,61.1995104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,left,0,1.593,1,0.471228112,#f3af84,"[""0"",""-0.25""]",up_orange.png,up,0,1,1,0,1,,,right,right_blue.png,up_orange.png,up,left,down,5c03448ca33dc3000159e4ba,2021-09-11_14h38.39.720,arrow_simon_vert,2021.1.2,MacIntel,61.1995104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1,1.222,0,0.232335829,#a3d0fb,"[""-0.25"",""0""]",right_blue.png,right,0,2,2,0,1,,,right,right_blue.png,up_orange.png,up,left,down,5c03448ca33dc3000159e4ba,2021-09-11_14h38.39.720,arrow_simon_vert,2021.1.2,MacIntel,61.1995104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,1.602,0,0.897058895,#f3af84,"[""0"",""0.25""]",down_orange.png,down,0,3,3,3,1,,,left,left_blue.png,down_orange.png,down,right,up,5c03448ca33dc3000159e4ba,2021-09-11_14h38.39.720,arrow_simon_vert,2021.1.2,MacIntel,61.1995104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1,2.14,0,0.926821645,#a3d0fb,"[""-0.25"",""0""]",left_blue.png,left,1,0,4,2,1,,,left,left_blue.png,down_orange.png,down,left,down,5c03448ca33dc3000159e4ba,2021-09-11_14h38.39.720,arrow_simon_vert,2021.1.2,MacIntel,61.1995104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,up,1,0.75,0,0.163094649,#f3af84,"[""0"",""0.25""]",up_orange.png,up,1,1,5,1,1,,,right,right_blue.png,up_orange.png,up,right,up,5c03448ca33dc3000159e4ba,2021-09-11_14h38.39.720,arrow_simon_vert,2021.1.2,MacIntel,61.1995104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,left,1,0.708,0,0.154770663,#a3d0fb,"[""-0.25"",""0""]",left_blue.png,left,1,2,6,2,1,,,left,left_blue.png,down_orange.png,down,left,down,5c03448ca33dc3000159e4ba,2021-09-11_14h38.39.720,arrow_simon_vert,2021.1.2,MacIntel,61.1995104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,1.121,0,0.698893606,#f3af84,"[""0"",""-0.25""]",down_orange.png,down,1,3,7,2,1,,,left,left_blue.png,down_orange.png,down,left,down,5c03448ca33dc3000159e4ba,2021-09-11_14h38.39.720,arrow_simon_vert,2021.1.2,MacIntel,61.1995104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,right,1,2.174,0,0.774093531,#a3d0fb,"[""-0.25"",""0""]",right_blue.png,right,2,0,8,0,1,,,right,right_blue.png,up_orange.png,up,left,down,5c03448ca33dc3000159e4ba,2021-09-11_14h38.39.720,arrow_simon_vert,2021.1.2,MacIntel,61.1995104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,down,1,1.293,0,0.008395832,#f3af84,"[""0"",""-0.25""]",down_orange.png,down,2,1,9,2,1,,,left,left_blue.png,down_orange.png,down,left,down,5c03448ca33dc3000159e4ba,2021-09-11_14h38.39.720,arrow_simon_vert,2021.1.2,MacIntel,61.1995104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
